//12V
-12000	0	0
-7280	2699	2661
-6240	2615	2590
-5200	2531	2509
-4160	2444	2421
-3120	2360	2330
-2080	2280	2264
-1040	2193	2179
0	2090	2092
1040	2349	2296
2080	2558	2515
3120	2467	2733
4160	2476	2980
5200	2695	3264
6240	3167	3323
7280	4038	3852
12000	4096	4096
//27V
-27000	0	0
-11440	2942	2953
-10400	2856	2888
-9359	2825	2812
-8320	2735	2721
-7280	2654	2630
-6240	2563	2539
-5200	2472	2473
-4160	2391	2416
-3120	2340	2329
-2080	2251	2238
-1040	2165	2177
0	2110	2115
1040	2185	2187
2080	2274	2263
3120	2358	2338
4160	2437	2419
5200	2522	2500
6240	2609	2599
7280	2668	2693
8320	2772	2780
9359	2806	2859
10400	2898	2939
11440	2967	3018
27000	4096	4096
