//12V
-12000	0	0
-7280	583	593
-6759	690	700
-6240	800	810
-5720	908	917
-5200	1017	1023
-4679	1125	1131
-4160	1234	1240
-3640	1341	1348
-3120	1450	1456
-2600	1557	1562
-2080	1665	1669
-1560	1773	1774
-1040	1880	1883
-520	1990	1993
0		2111	2112
520		2211	2212
1040	2319	2320
1560	2427	2428
2080	2537	2535
12000	4096	4096
//27V
-27000	0	0
-11960	1323	1330
-11440	1358	1364
-10919	1392	1399
-10400	1426	1433
-9880	1460	1465
-9359	1494	1499
-8839	1528	1532
-8320	1562	1567
-7800	1596	1601
-7280	1631	1634
-6759	1664	1668
-6240	1699	1702
-5720	1733	1736
-5200	1768	1769
-4679	1801	1804
-4160	1836	1838
-3640	1869	1872
-3120	1904	1907
-2600	1938	1942
-2080	1973	1975
-1560	2008	2010
-1040	2042	2045
-520	2076	2079
0		2115	2117
520		2146	2147
1040	2181	2182
1560	2216	2217
2080	2250	2251
2600	2284	2285
3120	2318	2319
3640	2353	2353
4160	2387	2387
4679	2427	2422
5200	2458	2455
5720	2492	2489
6240	2527	2523
6759	2561	2557
7280	2595	2592
7800	2630	2626
8320	2663	2660
8839	2698	2695
9359	2733	2728
9880	2767	2762
10400	2800	2795
10919	2835	2829
11440	2869	2864
11960	2904	2898
27000	4096	4096
