//12V		
-6240	716	726
-5720	832	842
-5200	947	956
-4680	1061	1069
-4160	1174	1183
-3640	1290	1298
-3120	1403	1413
-2600	1517	1526
-2080	1631	1639
-1560	1747	1753
-1040	1861	1866
-520	1974	1980
0	2090	2095
520	2202	2208
1040	2315	2321
1560	2429	2435
2080	2542	2548
2600	2658	2662
3120	2772	2774
3640	2884	2888
4160	2998	3003
4680	3112	3115
5200	3227	3230
5720	3340	3341
6240	3455	3456
//27V		
-29120	595	605
-27040	688	697
-24960	796	806
-22880	905	915
-20800	1014	1024
-18720	1123	1132
-16640	1232	1241
-14560	1341	1350
-12480	1450	1458
-10400	1558	1566
-8320	1666	1674
-6240	1775	1781
-4160	1884	1890
-2080	1992	1999
0	2102	2107
2080	2209	2215
4160	2318	2323
6240	2425	2432
8320	2534	2539
10400	2643	2645
12480	2751	2755
14560	2858	2863
16640	2967	2972
18720	3075	3081
20800	3184	3187
22880	3294	3296
24960	3403	3403
27040	3509	3509
29120	3569	3569
