//12V
-12000	0	0
-6240	779	789
-5720	889	898
-5200	997	1007
-4679	1107	1116
-4160	1216	1225
-3640	1324	1335
-3120	1434	1444
-2600	1543	1550
-2080	1651	1659
-1560	1761	1768
-1040	1870	1876
-520	1979	1985
0	2098	2104
520	2198	2204
1040	2309	2313
1560	2416	2422
2080	2525	2530
2600	2633	2638
3120	2743	2745
3640	2852	2856
4160	2959	2964
4679	3067	3074
5200	3177	3181
5720	3287	3287
6240	3394	3397
6759	3505	3504
7280	3590	3590
12000	4096	4096
//27V
-27000	0	0
-11960	1310	1319
-11440	1345	1354
-10919	1379	1388
-10400	1414	1423
-9880	1448	1456
-9359	1481	1491
-8839	1516	1525
-8320	1550	1559
-7800	1584	1593
-7280	1618	1627
-6759	1653	1661
-6240	1688	1695
-5720	1722	1729
-5200	1756	1763
-4679	1791	1796
-4160	1826	1831
-3640	1860	1866
-3120	1895	1901
-2600	1929	1934
-2080	1963	1969
-1560	1997	2003
-1040	2032	2038
-520	2066	2072
0	2103	2109
520	2134	2141
1040	2168	2175
1560	2203	2209
2080	2238	2243
2600	2272	2278
3120	2306	2312
3640	2341	2346
4160	2375	2380
4679	2409	2414
5200	2443	2448
5720	2476	2483
6240	2510	2517
6759	2545	2550
7280	2579	2585
7800	2614	2619
8320	2649	2652
8839	2683	2687
9359	2718	2720
9880	2753	2755
10400	2786	2788
10919	2821	2822
11440	2854	2857
11960	2889	2893
27000	4096	4096
