//12V
-12000	0	0
-7280	582	593
-6240	799	809
-5200	1016	1022
-4160	1233	1240
-3120	1448	1455
-2080	1665	1668
-1040	1880	1884
0		2109	2110
1040	2317	2320
2080	2537	2535
3120	2753	2750
4160	2971	2965
5200	3186	3180
6240	3402	3393
7280	3592	3578
12000	4096	4096

//27V
-27000	0	0
-11440	1357	1362
-10400	1425	1430
-9359	1493	1496
-8320	1561	1565
-7280	1629	1633
-6240	1699	1700
-5200	1766	1768
-4160	1834	1836
-3120	1903	1906
-2080	1973	1976
-1040	2041	2044
0		2114	2116
1040	2181	2182
2080	2249	2251
3120	2318	2319
4160	2387	2388
5200	2457	2456
6240	2527	2524
7280	2595	2592
8320	2664	2661
9359	2734	2728
10400	2801	2796
11440	2871	2864
27000	4096	4096
