//12V
-12000	0	0
0	2160	2152
192	2196	2188
384	2250	2232
576	2280	2275
769	2324	2318
961	2368	2375
1153	2412	2425
1346	2457	2451
1538	2501	2500
1730	2545	2550
1923	2588	2582
2115	2632	2628
2307	2678	2670
2500	2721	2750
2692	2766	2758
2884	2810	2802
3076	2855	2847
3269	2899	2890
3461	2943	2950
3653	3000	2978
3846	3030	3022
4038	3075	3065
4230	3118	3110
4423	3162	3154
4615	3300	3200
4807	3250	3250
5000	3300	3286
5192	3338	3329
5384	3382	3372
5576	3426	3416
5769	3471	3459
5961	3513	3501
6153	3550	3536
6346	3576	3565
6538	3595	3585
6730	3610	3600
6923	3622	3612
7115	3632	3623
7307	3641	3631
7500	3650	3639
7692	3655	3645
7884	3660	3652
8076	3667	3657
8269	3671	3662
8461	3676	3665
8653	3679	3669
8846	3681	3670
9038	3683	3671
9230	3685	3675
9423	3688	3675
9615	3685	3675
9807	3690	3680
9999	3692	3680
10192	3693	3683
10384	3694	3685
10576	3695	3686
10769	3695	3685
10961	3698	3690
11153	3698	3689
11346	3700	3691
11538	3701	3690
12000	4096	4096
//27V
-27000	0	0
27000	4096	4096
