//12V
-12000	0	0
-4807	393	443
-4615	797	493
-4423	547	593
-4230	543	443
-4038	413	493
-3846	638	718
-3653	663	468
-3461	638	498
-3269	663	473
-3076	417	444
-2884	547	443
-2692	542	499
-2499	438	473
-2307	663	493
-2115	392	499
-1923	547	448
-1730	422	449
-1538	563	448
-1346	667	748
-1153	542	468
-961	438	593
-769	742	468
-576	563	468
-384	388	718
-192	638	459
0	2133	2135
192	2167	2167
384	2225	2212
576	2251	2255
769	2300	2299
961	2400	2342
1153	2387	2388
1346	2450	2432
1538	2500	2476
1730	2518	2520
1923	2562	2564
2115	2607	2608
2307	2525	2651
2500	2697	2694
2692	2740	2738
2884	2785	2783
3076	2827	2827
3269	2870	2870
3461	2955	2915
3653	2959	2958
3846	3025	3050
4038	3046	2813
4230	3090	2961
4423	3150	3133
4615	3177	3177
4807	3222	3006
5000	3285	3266
5192	3310	3360
5384	3353	3353
5576	3224	3396
5769	3440	3438
5961	3481	3474
6153	3511	3351
6346	3530	3525
6538	3544	3522
6730	3548	3531
6923	3561	3540
7115	3565	3545
7307	3572	3593
7500	3577	3178
7692	3580	3004
7884	3575	3165
8076	3576	3151
8269	3578	3294
8461	3580	3154
8653	3582	3550
8846	3585	3583
9038	3585	3589
9230	3590	3595
9423	3590	3200
9615	3594	3103
9807	3598	3597
9999	3589	3191
10192	3585	3401
10384	3593	3413
10576	2000	3317
10769	3590	3604
10961	2000	3455
11153	3590	3370
11346	3584	3409
11538	3582	3552
12000	4096	4096
//27V
-27000	0	0
-4807	497	449
-4615	422	469
-4423	542	469
-4230	563	469
-4038	638	469
-3846	638	469
-3653	443	469
-3461	443	473
-3269	443	504
-3076	1143	443
-2884	1443	443
-2692	452	443
-2499	443	1393
-2307	443	443
-2115	668	643
-1923	447	463
-1730	443	457
-1538	902	447
-1346	447	443
-1153	443	543
-961	643	463
-769	893	488
-576	643	488
-384	893	463
-192	893	488
0	2115	2003
192	2115	2059
384	2110	2135
576	2153	2165
769	2160	2150
961	2167	2000
1153	2009	2167
1346	2019	2215
1538	2148	2210
1730	2048	2039
1923	2148	2135
2115	2088	2089
2307	2252	2290
2500	2258	2199
2692	2044	2252
2884	2148	2250
3076	2044	2079
3269	2303	2014
3461	2174	2148
3653	2100	2254
3846	2088	2265
4038	2119	2160
4230	2048	2014
4423	2173	2059
4615	2378	2395
4807	2423	2204
5000	2014	2395
5192	2148	2018
5384	2420	2254
5576	2319	2420
5769	2269	2023
5961	2164	2049
6153	2004	2148
6346	2019	2209
6538	2024	2440
6730	2324	2019
6923	2515	2148
7115	2329	2346
7307	2299	2044
7500	2020	2199
7692	2155	2194
7884	2068	2223
8076	2083	2106
8269	2086	2064
8461	2223	2106
8653	2052	2004
8846	2628	2324
9038	2031	2006
9230	2288	2280
9423	2131	2024
9615	2004	2279
9807	2304	2298
9999	2377	2690
10192	2385	2156
10384	2688	2310
10576	2098	2296
10769	2201	2181
10961	2169	2180
11153	2753	2352
11346	2231	2149
11538	2269	2256
11730	2000	2023
11923	2199	2233
12115	2003	2740
12307	2379	2248
12499	2281	2281
12692	2281	2815
12884	2010	2010
13076	2102	2052
13269	2050	2010
13461	2102	2052
13653	2050	2010
13846	2252	2250
14038	2275	2375
14230	2252	2302
14423	2327	2300
14615	2327	2285
14807	2353	2441
14999	2352	2350
15192	2965	2352
15384	2960	2511
15576	3010	2425
15769	2402	2511
15961	2450	2425
16153	2450	2534
16346	2475	2556
16538	2452	2450
16730	2719	2729
16923	3024	3024
17115	3050	3100
17307	2502	2502
17499	2865	2859
17692	3100	2520
17884	2540	3103
18076	2552	2909
18269	2575	3152
18461	2554	3150
18653	3142	3148
18846	3139	2574
19038	2590	3190
19230	2610	3053
19423	2610	2607
19615	2617	2614
19807	2640	3200
19999	3248	3185
20192	2650	2645
20384	2660	3244
20576	3248	2667
20769	2678	3259
20961	3263	2685
21153	2700	2970
21346	2709	2983
21538	3289	2740
21730	2730	3044
21923	3019	2740
22115	3023	3004
22307	2763	3002
22499	2785	3330
22692	2795	3059
22884	2795	2800
23076	2796	2797
23269	2804	2808
23461	2812	3324
23653	3128	3096
23846	2840	2827
24038	2833	2840
24230	2855	2843
24423	2853	3080
24615	2860	2858
24807	2865	2863
24999	2885	3337
25192	2902	3082
25384	2900	2895
25576	2902	2902
25769	2915	2925
25961	2914	2884
27000	4096	4096
